Candidate Name,Electoral District,LastName,Riding Number,Party,RidingLastName
David Mossey,Niagara West--Glanbrook,Mossey,55,Ontario Liberal Party,55Mossey
Geoff Peacock,Niagara West--Glanbrook,Peacock,55,Freedom Party of Ontario,55Peacock
Marck Blay,Nickel Belt,Blay,56,Progressive Conservative Party of Ontario,56Blay
Heather K Dahlstrom,Nickel Belt,Dahlstrom,56,Green Party of Ontario,56Dahlstrom
France Gélinas,Nickel Belt,Gélinas,56,New Democratic Party of Ontario,56Gélinas
James Tregonning,Nickel Belt,Tregonning,56,Ontario Liberal Party,56Tregonning
Patrick Clement,Nipissing,Clement,57,INDEPENDENT,57Clement
Derek Elliott,Nipissing,Elliott,57,Ontario Libertarian Party,57Elliott
Victor Fedeli,Nipissing,Fedeli,57,Progressive Conservative Party of Ontario,57Fedeli
Henri Giroux,Nipissing,Giroux,57,New Democratic Party of Ontario,57Giroux
Nicole Peltier,Nipissing,Peltier,57,Green Party of Ontario,57Peltier
Catherine Whiting,Nipissing,Whiting,57,Ontario Liberal Party,57Whiting
Gudrun Ludorf-Weaver,Northumberland--Quinte West,Ludorf-Weaver,58,Green Party of Ontario,58Ludorf-Weaver
Kira Mees,Northumberland--Quinte West,Mees,58,New Democratic Party of Ontario,58Mees
Rob Milligan,Northumberland--Quinte West,Milligan,58,Progressive Conservative Party of Ontario,58Milligan
Lou Rinaldi,Northumberland--Quinte West,Rinaldi,58,Ontario Liberal Party,58Rinaldi
Karl Boelling,Oak Ridges--Markham,Boelling,59,Ontario Libertarian Party,59Boelling
Helena Jaczek,Oak Ridges--Markham,Jaczek,59,Ontario Liberal Party,59Jaczek
Miles Krauter,Oak Ridges--Markham,Krauter,59,New Democratic Party of Ontario,59Krauter
Emilia Melara,Oak Ridges--Markham,Melara,59,Green Party of Ontario,59Melara
Gennady Vilensky,Oak Ridges--Markham,Vilensky,59,Trillium Party of Ontario,59Vilensky
Farid Wassef,Oak Ridges--Markham,Wassef,59,Progressive Conservative Party of Ontario,59Wassef
Andrew Chlobowski,Oakville,Chlobowski,60,Green Party of Ontario,60Chlobowski
David Clement,Oakville,Clement,60,Ontario Libertarian Party,60Clement
Kevin Flynn,Oakville,Flynn,60,Ontario Liberal Party,60Flynn
Che Marville,Oakville,Marville,60,New Democratic Party of Ontario,60Marville
Larry Scott,Oakville,Scott,60,Progressive Conservative Party of Ontario,60Scott
Silvio Ursomarzo,Oakville,Ursomarzo,60,Freedom Party of Ontario,60Ursomarzo
Jennifer French,Oshawa,French,61,New Democratic Party of Ontario,61French
Jerry Ouellette,Oshawa,Ouellette,61,Progressive Conservative Party of Ontario,61Ouellette
Esrick Quintyn,Oshawa,Quintyn,61,Ontario Liberal Party,61Quintyn
Becky Smit,Oshawa,Smit,61,Green Party of Ontario,61Smit
Robert Dekker,Ottawa Centre,Dekker,62,Progressive Conservative Party of Ontario,62Dekker
Bruce Faulkner,Ottawa Centre,Faulkner,62,Ontario Libertarian Party,62Faulkner
Jennifer McKenzie,Ottawa Centre,McKenzie,62,New Democratic Party of Ontario,62McKenzie
Yasir Naqvi,Ottawa Centre,Naqvi,62,Ontario Liberal Party,62Naqvi
Kevin O'Donnell,Ottawa Centre,O'Donnell,62,Green Party of Ontario,62O'Donnell
Larry Wasslen,Ottawa Centre,Wasslen,62,Communist Party of Canada (Ontario),62Wasslen
Jean-Serge Brisson,Ottawa South,Brisson,64,Ontario Libertarian Party,64Brisson
John Fraser,Ottawa South,Fraser,64,Ontario Liberal Party,64Fraser
Bronwyn Funiciello,Ottawa South,Funiciello,64,New Democratic Party of Ontario,64Funiciello
Matt Lakatos-Hayward,Ottawa South,Lakatos-Hayward,64,Green Party of Ontario,64Lakatos-Hayward
Espoir Manirambona,Ottawa South,Manirambona,64,Communist Party of Canada (Ontario),64Manirambona
John Redins,Ottawa South,Redins,64,Party for People with Special Needs,64Redins
Matt Young,Ottawa South,Young,64,Progressive Conservative Party of Ontario,64Young
Matthew Brooks,Ottawa West--Nepean,Brooks,66,Ontario Libertarian Party,66Brooks
Bob Chiarelli,Ottawa West--Nepean,Chiarelli,66,Ontario Liberal Party,66Chiarelli
Alex Cullen,Ottawa West--Nepean,Cullen,66,New Democratic Party of Ontario,66Cullen
Randall Denley,Ottawa West--Nepean,Denley,66,Progressive Conservative Party of Ontario,66Denley
Alex Hill,Ottawa West--Nepean,Hill,66,Green Party of Ontario,66Hill
Bob Bell,Ottawa--Orléans,Bell,63,Green Party of Ontario,63Bell
Gerald Bourdeau,Ottawa--Orléans,Bourdeau,63,Ontario Libertarian Party,63Bourdeau
Marie-France Lalonde,Ottawa--Orléans,Lalonde,63,Ontario Liberal Party,63Lalonde
Andrew Lister,Ottawa--Orléans,Lister,63,Progressive Conservative Party of Ontario,63Lister
Prosper M'Bemba-Meka,Ottawa--Orléans,M'Bemba-Meka,63,New Democratic Party of Ontario,63M'Bemba-Meka
David Bagler,Ottawa--Vanier,Bagler,65,Green Party of Ontario,65Bagler
Martin Forget,Ottawa--Vanier,Forget,65,Progressive Conservative Party of Ontario,65Forget
Madeleine Meilleur,Ottawa--Vanier,Meilleur,65,Ontario Liberal Party,65Meilleur
Herve Ngamby,Ottawa--Vanier,Ngamby,65,New Democratic Party of Ontario,65Ngamby
Phillip Richard,Ottawa--Vanier,Richard,65,Ontario Libertarian Party,65Richard
Michael Farlow,Oxford,Farlow,67,Green Party of Ontario,67Farlow
Ernie Hardeman,Oxford,Hardeman,67,Progressive Conservative Party of Ontario,67Hardeman
Tim Hodges,Oxford,Hodges,67,Freedom Party of Ontario,67Hodges
Daniel Moulton,Oxford,Moulton,67,Ontario Liberal Party,67Moulton
Bryan Smith,Oxford,Smith,67,New Democratic Party of Ontario,67Smith
Devin Wright,Oxford,Wright,67,Ontario Libertarian Party,67Wright
Cheri Dinovo,Parkdale--High Park,Dinovo,68,New Democratic Party of Ontario,68Dinovo
Jamie Ellerton,Parkdale--High Park,Ellerton,68,Progressive Conservative Party of Ontario,68Ellerton
Nancy Leblanc,Parkdale--High Park,Leblanc,68,Ontario Liberal Party,68Leblanc
Melanie Motz,Parkdale--High Park,Motz,68,Freedom Party of Ontario,68Motz
Timothy Rudkins,Parkdale--High Park,Rudkins,68,Green Party of Ontario,68Rudkins
Matthew Vezina,Parkdale--High Park,Vezina,68,None of the Above Party,68Vezina
Redmond Weissenberger,Parkdale--High Park,Weissenberger,68,Ontario Libertarian Party,68Weissenberger
Norm Miller,Parry Sound--Muskoka,Miller,69,Progressive Conservative Party of Ontario,69Miller
Clyde Mobbley,Parry Sound--Muskoka,Mobbley,69,New Democratic Party of Ontario,69Mobbley
Matt Richter,Parry Sound--Muskoka,Richter,69,Green Party of Ontario,69Richter
Andy Stivrins,Parry Sound--Muskoka,Stivrins,69,Freedom Party of Ontario,69Stivrins
Dan Waters,Parry Sound--Muskoka,Waters,69,Ontario Liberal Party,69Waters
Chris Desjardins,Perth--Wellington,Desjardins,70,Green Party of Ontario,70Desjardins
Romayne Smith Fullerton,Perth--Wellington,Fullerton,70,New Democratic Party of Ontario,70Fullerton
Scott Marshall,Perth--Wellington,Marshall,70,Ontario Libertarian Party,70Marshall
Matthew Murphy,Perth--Wellington,Murphy,70,INDEPENDENT,70Murphy
Randy Pettapiece,Perth--Wellington,Pettapiece,70,Progressive Conservative Party of Ontario,70Pettapiece
Stewart Skinner,Perth--Wellington,Skinner,70,Ontario Liberal Party,70Skinner
Rob Smeenk,Perth--Wellington,Smeenk,70,Freedom Party of Ontario,70Smeenk
Gary Beamish,Peterborough,Beamish,71,Green Party of Ontario,71Beamish
Gerard Faux,Peterborough,Faux,71,Pauper Party of Ontario,71Faux
Jeff Leal,Peterborough,Leal,71,Ontario Liberal Party,71Leal
Brian Martindale,Peterborough,Martindale,71,INDEPENDENT,71Martindale
Wayne Matheson,Peterborough,Matheson,71,Freedom Party of Ontario,71Matheson
Gary Scott Stewart,Peterborough,Stewart,71,Progressive Conservative Party of Ontario,71Stewart
Sheila Wood,Peterborough,Wood,71,New Democratic Party of Ontario,71Wood
Kevin Gaudet,Pickering--Scarborough East,Gaudet,72,Progressive Conservative Party of Ontario,72Gaudet
Eileen Higdon,Pickering--Scarborough East,Higdon,72,New Democratic Party of Ontario,72Higdon
Scott Hoefig,Pickering--Scarborough East,Hoefig,72,Ontario Libertarian Party,72Hoefig
Tracy MacCharles,Pickering--Scarborough East,MacCharles,72,Ontario Liberal Party,72MacCharles
Anthony Navarro,Pickering--Scarborough East,Navarro,72,Green Party of Ontario,72Navarro
Matthew Oliver,Pickering--Scarborough East,Oliver,72,Freedom Party of Ontario,72Oliver
Lindsay Forbes,Prince Edward--Hastings,Forbes,73,Ontario Libertarian Party,73Forbes
Anita Payne,Prince Edward--Hastings,Payne,73,Green Party of Ontario,73Payne
Todd Smith,Prince Edward--Hastings,Smith,73,Progressive Conservative Party of Ontario,73Smith
Merrill Stewart,Prince Edward--Hastings,Stewart,73,New Democratic Party of Ontario,73Stewart
Georgina Thompson,Prince Edward--Hastings,Thompson,73,Ontario Liberal Party,73Thompson
Chad Beckwith-Smith,Renfrew--Nipissing--Pembroke,Beckwith-Smith,74,INDEPENDENT,74Beckwith-Smith
Roderic Boileau,Renfrew--Nipissing--Pembroke,Boileau,74,Ontario Liberal Party,74Boileau
Brian Dougherty,Renfrew--Nipissing--Pembroke,Dougherty,74,New Democratic Party of Ontario,74Dougherty
Murray Reid,Renfrew--Nipissing--Pembroke,Reid,74,Ontario Provincial Confederation of Regions Party,74Reid
Benjamin Wright,Renfrew--Nipissing--Pembroke,Wright,74,Green Party of Ontario,74Wright
John Yakabuski,Renfrew--Nipissing--Pembroke,Yakabuski,74,Progressive Conservative Party of Ontario,74Yakabuski
Igor Bily,Richmond Hill,Bily,75,Ontario Libertarian Party,75Bily
Adam DeVita,Richmond Hill,DeVita,75,New Democratic Party of Ontario,75DeVita
Yuri Duboisky,Richmond Hill,Duboisky,75,Ontario Moderate Party,75Duboisky
Vic Gupta,Richmond Hill,Gupta,75,Progressive Conservative Party of Ontario,75Gupta
Rachael Lave,Richmond Hill,Lave,75,Green Party of Ontario,75Lave
Reza Moridi,Richmond Hill,Moridi,75,Ontario Liberal Party,75Moridi
Bob Bailey,Sarnia--Lambton,Bailey,78,Progressive Conservative Party of Ontario,78Bailey
Andrew Falby,Sarnia--Lambton,Falby,78,Ontario Libertarian Party,78Falby
Anne Marie Gillis,Sarnia--Lambton,Gillis,78,Ontario Liberal Party,78Gillis
Kevin Shaw,Sarnia--Lambton,Shaw,78,Green Party of Ontario,78Shaw
Brian White,Sarnia--Lambton,White,78,New Democratic Party of Ontario,78White
Kara Flannigan,Sault Ste. Marie,Flannigan,79,Green Party of Ontario,79Flannigan
Roderick (Rod) Fremlin,Sault Ste. Marie,Fremlin,79,Progressive Conservative Party of Ontario,79Fremlin
David Orazietti,Sault Ste. Marie,Orazietti,79,Ontario Liberal Party,79Orazietti
Celia Ross,Sault Ste. Marie,Ross,79,New Democratic Party of Ontario,79Ross
Austin Williams,Sault Ste. Marie,Williams,79,Ontario Libertarian Party,79Williams
Carol Baker,Scarborough Centre,Baker,81,New Democratic Party of Ontario,81Baker
Brad Duguid,Scarborough Centre,Duguid,81,Ontario Liberal Party,81Duguid
David Ramalho,Scarborough Centre,Ramalho,81,Progressive Conservative Party of Ontario,81Ramalho
Edward Yaghledjian,Scarborough Centre,Yaghledjian,81,Green Party of Ontario,81Yaghledjian
Lorenzo Berardinetti,Scarborough Southwest,Berardinetti,84,Ontario Liberal Party,84Berardinetti
Jean-Baptiste Foaleng,Scarborough Southwest,Foaleng,84,INDEPENDENT,84Foaleng
David Del Grande,Scarborough Southwest,Grande,84,Green Party of Ontario,84Grande
Nita Kang,Scarborough Southwest,Kang,84,Progressive Conservative Party of Ontario,84Kang
Jessie Macaulay,Scarborough Southwest,Macaulay,84,New Democratic Party of Ontario,84Macaulay
Tyler Rose,Scarborough Southwest,Rose,84,Ontario Libertarian Party,84Rose
Liang Hsuan Chen,Scarborough--Agincourt,Chen,80,Progressive Conservative Party of Ontario,80Chen
Kevin Clarke,Scarborough--Agincourt,Clarke,80,The Peoples Political Party,80Clarke
Pauline Thompson,Scarborough--Agincourt,Thompson,80,Green Party of Ontario,80Thompson
Alex Wilson,Scarborough--Agincourt,Wilson,80,New Democratic Party of Ontario,80Wilson
Soo Wong,Scarborough--Agincourt,Wong,80,Ontario Liberal Party,80Wong
Jeffrey Bustard,Scarborough--Guildwood,Bustard,82,Green Party of Ontario,82Bustard
Mitzie Hunter,Scarborough--Guildwood,Hunter,82,Ontario Liberal Party,82Hunter
Richard Kerr,Scarborough--Guildwood,Kerr,82,Ontario Libertarian Party,82Kerr
Ken Kirupa,Scarborough--Guildwood,Kirupa,82,Progressive Conservative Party of Ontario,82Kirupa
Khalid Mokhtarzada,Scarborough--Guildwood,Mokhtarzada,82,Freedom Party of Ontario,82Mokhtarzada
John Sawdon,Scarborough--Guildwood,Sawdon,82,Canadians' Choice Party,82Sawdon
Shuja Syed,Scarborough--Guildwood,Syed,82,New Democratic Party of Ontario,82Syed
Bas Balkissoon,Scarborough--Rouge River,Balkissoon,83,Ontario Liberal Party,83Balkissoon
Raymond Cho,Scarborough--Rouge River,Cho,83,Progressive Conservative Party of Ontario,83Cho
Amir Khan,Scarborough--Rouge River,Khan,83,None of the Above Party,83Khan
Neethan Shan,Scarborough--Rouge River,Shan,83,New Democratic Party of Ontario,83Shan
George Singh,Scarborough--Rouge River,Singh,83,Green Party of Ontario,83Singh
Garfield Dunlop,Simcoe North,Dunlop,85,Progressive Conservative Party of Ontario,85Dunlop
Fred Larsen,Simcoe North,Larsen,85,Ontario Liberal Party,85Larsen
Doris Middleton,Simcoe North,Middleton,85,New Democratic Party of Ontario,85Middleton
Peter Stubbins,Simcoe North,Stubbins,85,Green Party of Ontario,85Stubbins
Jesseca Dudun,Simcoe--Grey,Dudun,86,Green Party of Ontario,86Dudun
Lorne Kenney,Simcoe--Grey,Kenney,86,Ontario Liberal Party,86Kenney
David Matthews,Simcoe--Grey,Matthews,86,New Democratic Party of Ontario,86Matthews
Jim Wilson,Simcoe--Grey,Wilson,86,Progressive Conservative Party of Ontario,86Wilson
James Bradley,St. Catharines,Bradley,76,Ontario Liberal Party,76Bradley
Nick Dushko,St. Catharines,Dushko,76,Ontario Libertarian Party,76Dushko
Karen Fraser,St. Catharines,Fraser,76,Green Party of Ontario,76Fraser
Mathew Siscoe,St. Catharines,Siscoe,76,Progressive Conservative Party of Ontario,76Siscoe
Jennifer (Jennie) Stevens,St. Catharines,Stevens,76,New Democratic Party of Ontario,76Stevens
Dave Unrau,St. Catharines,Unrau,76,Freedom Party of Ontario,76Unrau
Saleh Waziruddin,St. Catharines,Waziruddin,76,Communist Party of Canada (Ontario),76Waziruddin
Justine Deluce,St. Paul's,Deluce,77,Progressive Conservative Party of Ontario,77Deluce
Eric Hoskins,St. Paul's,Hoskins,77,Ontario Liberal Party,77Hoskins
John Kittredge,St. Paul's,Kittredge,77,Ontario Libertarian Party,77Kittredge
Josh Rachlis,St. Paul's,Rachlis,77,Green Party of Ontario,77Rachlis
Mike Rita,St. Paul's,Rita,77,Freedom Party of Ontario,77Rita
Luke Savage,St. Paul's,Savage,77,New Democratic Party of Ontario,77Savage
John Earle,Stormont--Dundas--South Glengarry,Earle,87,Ontario Liberal Party,87Earle
Elaine MacDonald,Stormont--Dundas--South Glengarry,MacDonald,87,New Democratic Party of Ontario,87MacDonald
Jim McDonell,Stormont--Dundas--South Glengarry,McDonell,87,Progressive Conservative Party of Ontario,87McDonell
Shawn McRae,Stormont--Dundas--South Glengarry,McRae,87,Ontario Libertarian Party,87McRae
Sharron Norman,Stormont--Dundas--South Glengarry,Norman,87,Green Party of Ontario,87Norman
Joe Cimino,Sudbury,Cimino,88,New Democratic Party of Ontario,88Cimino
Casey Lalonde,Sudbury,Lalonde,88,Green Party of Ontario,88Lalonde
Andrew Olivier,Sudbury,Olivier,88,Ontario Liberal Party,88Olivier
Paula Peroni,Sudbury,Peroni,88,Progressive Conservative Party of Ontario,88Peroni
John David Popescu,Sudbury,Popescu,88,INDEPENDENT,88Popescu
Steven Wilson,Sudbury,Wilson,88,Ontario Libertarian Party,88Wilson
Gene Balfour,Thornhill,Balfour,89,Ontario Libertarian Party,89Balfour
David Bergart,Thornhill,Bergart,89,Green Party of Ontario,89Bergart
Erin Ashley Goodwin,Thornhill,Goodwin,89,Freedom Party of Ontario,89Goodwin
Cindy Hackelberg,Thornhill,Hackelberg,89,New Democratic Party of Ontario,89Hackelberg
Gila Martow,Thornhill,Martow,89,Progressive Conservative Party of Ontario,89Martow
Sandra Racco,Thornhill,Racco,89,Ontario Liberal Party,89Racco
Edward Deibel,Thunder Bay--Atikokan,Deibel,90,Northern Ontario Party,90Deibel
Mary Kozorys,Thunder Bay--Atikokan,Kozorys,90,New Democratic Party of Ontario,90Kozorys
Bill Mauro,Thunder Bay--Atikokan,Mauro,90,Ontario Liberal Party,90Mauro
John Northey,Thunder Bay--Atikokan,Northey,90,Green Party of Ontario,90Northey
Joe Talarico,Thunder Bay--Atikokan,Talarico,90,Ontario Libertarian Party,90Talarico
Harold Wilson,Thunder Bay--Atikokan,Wilson,90,Progressive Conservative Party of Ontario,90Wilson
Andrew Foulds,Thunder Bay--Superior North,Foulds,91,New Democratic Party of Ontario,91Foulds
Michael Gravelle,Thunder Bay--Superior North,Gravelle,91,Ontario Liberal Party,91Gravelle
Tamara Johnson,Thunder Bay--Superior North,Johnson,91,Ontario Libertarian Party,91Johnson
Joseph LeBlanc,Thunder Bay--Superior North,LeBlanc,91,Green Party of Ontario,91LeBlanc
Derek Parks,Thunder Bay--Superior North,Parks,91,Progressive Conservative Party of Ontario,91Parks
Paul Sloan,Thunder Bay--Superior North,Sloan,91,Northern Ontario Party,91Sloan
Gino Chitaroni,Timiskaming--Cochrane,Chitaroni,92,Northern Ontario Party,92Chitaroni
Cody Fraser,Timiskaming--Cochrane,Fraser,92,Green Party of Ontario,92Fraser
Sébastien Goyer,Timiskaming--Cochrane,Goyer,92,Ontario Liberal Party,92Goyer
Peter Politis,Timiskaming--Cochrane,Politis,92,Progressive Conservative Party of Ontario,92Politis
John Vanthof,Timiskaming--Cochrane,Vanthof,92,New Democratic Party of Ontario,92Vanthof
Gilles Bisson,Timmins--James Bay,Bisson,93,New Democratic Party of Ontario,93Bisson
Steve Black,Timmins--James Bay,Black,93,Progressive Conservative Party of Ontario,93Black
Sylvie Fontaine,Timmins--James Bay,Fontaine,93,Ontario Liberal Party,93Fontaine
Bozena Hrycyna,Timmins--James Bay,Hrycyna,93,Green Party of Ontario,93Hrycyna
Fauzia Sadiq,Timmins--James Bay,Sadiq,93,Ontario Provincial Confederation of Regions Party,93Sadiq
Martin Abell,Toronto Centre,Abell,94,Progressive Conservative Party of Ontario,94Abell
Lada Alekseychuk,Toronto Centre,Alekseychuk,94,Party for People with Special Needs,94Alekseychuk
Mark Daye,Toronto Centre,Daye,94,Green Party of Ontario,94Daye
Judi Falardeau,Toronto Centre,Falardeau,94,Ontario Libertarian Party,94Falardeau
Andrew Garvie,Toronto Centre,Garvie,94,Communist Party of Canada (Ontario),94Garvie
Christopher Jason Goodwin,Toronto Centre,Goodwin,94,Freedom Party of Ontario,94Goodwin
Glen Murray,Toronto Centre,Murray,94,Ontario Liberal Party,94Murray
Robin Nurse,Toronto Centre,Nurse,94,The Peoples Political Party,94Nurse
Harvey Rotenberg,Toronto Centre,Rotenberg,94,Vegan Environmental Party,94Rotenberg
Kate Sellar,Toronto Centre,Sellar,94,New Democratic Party of Ontario,94Sellar
Bahman Yazdanfar,Toronto Centre,Yazdanfar,94,Canadians' Choice Party,94Yazdanfar
Thomas Armstrong,Toronto--Danforth,Armstrong,95,Ontario Libertarian Party,95Armstrong
Ali Azaroghli,Toronto--Danforth,Azaroghli,95,The Peoples Political Party,95Azaroghli
Simon Luisi,Toronto--Danforth,Luisi,95,Vegan Environmental Party,95Luisi
Rob Newman,Toronto--Danforth,Newman,95,Ontario Liberal Party,95Newman
Tristan Parlette,Toronto--Danforth,Parlette,95,Freedom Party of Ontario,95Parlette
Rachel Power,Toronto--Danforth,Power,95,Green Party of Ontario,95Power
John Richardson,Toronto--Danforth,Richardson,95,Canadians' Choice Party,95Richardson
Elizabeth Rowley,Toronto--Danforth,Rowley,95,Communist Party of Canada (Ontario),95Rowley
Naomi Solomon,Toronto--Danforth,Solomon,95,Progressive Conservative Party of Ontario,95Solomon
Peter Tabuns,Toronto--Danforth,Tabuns,95,New Democratic Party of Ontario,95Tabuns
Han Dong,Trinity--Spadina,Dong,96,Ontario Liberal Party,96Dong
Andrew Echevarria,Trinity--Spadina,Echevarria,96,Ontario Libertarian Party,96Echevarria
Paul Figueiras,Trinity--Spadina,Figueiras,96,Vegan Environmental Party,96Figueiras
Tim Grant,Trinity--Spadina,Grant,96,Green Party of Ontario,96Grant
Dan King,Trinity--Spadina,King,96,Party for People with Special Needs,96King
Rosario Marchese,Trinity--Spadina,Marchese,96,New Democratic Party of Ontario,96Marchese
Roberta Scott,Trinity--Spadina,Scott,96,Progressive Conservative Party of Ontario,96Scott
Marco Coletta,Vaughan,Coletta,97,New Democratic Party of Ontario,97Coletta
Steven Del Duca,Vaughan,Duca,97,Ontario Liberal Party,97Duca
Paolo Fabrizio,Vaughan,Fabrizio,97,Ontario Libertarian Party,97Fabrizio
Peter Meffe,Vaughan,Meffe,97,Progressive Conservative Party of Ontario,97Meffe
Matthew Pankhurst,Vaughan,Pankhurst,97,Green Party of Ontario,97Pankhurst
Frank Campion,Welland,Campion,98,Progressive Conservative Party of Ontario,98Campion
Donna Cridland,Welland,Cridland,98,Green Party of Ontario,98Cridland
Cindy Forster,Welland,Forster,98,New Democratic Party of Ontario,98Forster
Benoit Mercier,Welland,Mercier,98,Ontario Liberal Party,98Mercier
Andrea Murik,Welland,Murik,98,Ontario Libertarian Party,98Murik
Ted Arnott,Wellington--Halton Hills,Arnott,99,Progressive Conservative Party of Ontario,99Arnott
Michael Carlucci,Wellington--Halton Hills,Carlucci,99,New Democratic Party of Ontario,99Carlucci
Jason Cousineau,Wellington--Halton Hills,Cousineau,99,Ontario Libertarian Party,99Cousineau
David Rodgers,Wellington--Halton Hills,Rodgers,99,Green Party of Ontario,99Rodgers
Mitchell Sproule,Wellington--Halton Hills,Sproule,99,Freedom Party of Ontario,99Sproule
Dan Zister,Wellington--Halton Hills,Zister,99,Ontario Liberal Party,99Zister
Christine Janice Elliott,Whitby--Oshawa,Elliott,100,Progressive Conservative Party of Ontario,100Elliott
Ryan Kelly,Whitby--Oshawa,Kelly,100,New Democratic Party of Ontario,100Kelly
Ajay Krishnan,Whitby--Oshawa,Krishnan,100,Ontario Liberal Party,100Krishnan
Stacey Leadbetter,Whitby--Oshawa,Leadbetter,100,Green Party of Ontario,100Leadbetter
Douglas Thom,Whitby--Oshawa,Thom,100,Freedom Party of Ontario,100Thom
Alexander Brown,Willowdale,Brown,101,New Democratic Party of Ontario,101Brown
Michael Ceci,Willowdale,Ceci,101,Progressive Conservative Party of Ontario,101Ceci
Teresa Pun,Willowdale,Pun,101,Green Party of Ontario,101Pun
David Zimmer,Willowdale,Zimmer,101,Ontario Liberal Party,101Zimmer
Helmi Charif,Windsor West,Charif,103,INDEPENDENT,103Charif
Chad Durocher,Windsor West,Durocher,103,Green Party of Ontario,103Durocher
Lisa Gretzky,Windsor West,Gretzky,103,New Democratic Party of Ontario,103Gretzky
Hung-Chih (Henry) Lau,Windsor West,Lau,103,Progressive Conservative Party of Ontario,103Lau
Teresa Piruzza,Windsor West,Piruzza,103,Ontario Liberal Party,103Piruzza
Jason William Dupuis,Windsor--Tecumseh,Dupuis,102,Ontario Liberal Party,102Dupuis
Percy Hatfield,Windsor--Tecumseh,Hatfield,102,New Democratic Party of Ontario,102Hatfield
Timothy Marshall,Windsor--Tecumseh,Marshall,102,Ontario Libertarian Party,102Marshall
Adam Wright,Windsor--Tecumseh,Wright,102,Green Party of Ontario,102Wright
Brandon Wright,Windsor--Tecumseh,Wright,102,Progressive Conservative Party of Ontario,102Wright
Joshua Borenstein,York Centre,Borenstein,104,Green Party of Ontario,104Borenstein
Laurence Cherniak,York Centre,Cherniak,104,Freedom Party of Ontario,104Cherniak
John Fagan,York Centre,Fagan,104,New Democratic Party of Ontario,104Fagan
Monte Kwinter,York Centre,Kwinter,104,Ontario Liberal Party,104Kwinter
Avi Yufest,York Centre,Yufest,104,Progressive Conservative Party of Ontario,104Yufest
Laura Albanese,York South--Weston,Albanese,106,Ontario Liberal Party,106Albanese
Eric Compton,York South--Weston,Compton,106,Freedom Party of Ontario,106Compton
Paul Ferreira,York South--Weston,Ferreira,106,New Democratic Party of Ontario,106Ferreira
Andrew Ffrench,York South--Weston,Ffrench,106,Progressive Conservative Party of Ontario,106Ffrench
Jessica Higgins,York South--Weston,Higgins,106,Green Party of Ontario,106Higgins
Abi Issa,York South--Weston,Issa,106,INDEPENDENT,106Issa
Kayla Baptiste,York West,Baptiste,107,Freedom Party of Ontario,107Baptiste
Keith Jarrett,York West,Jarrett,107,Green Party of Ontario,107Jarrett
Karlene Nation,York West,Nation,107,Progressive Conservative Party of Ontario,107Nation
Tom Rakocevic,York West,Rakocevic,107,New Democratic Party of Ontario,107Rakocevic
Waldemar Schwauss,York West,Schwauss,107,INDEPENDENT,107Schwauss
Mario Sergio,York West,Sergio,107,Ontario Liberal Party,107Sergio
Cheryl Laura Bowman,York--Simcoe,Bowman,105,New Democratic Party of Ontario,105Bowman
Loralea Carruthers,York--Simcoe,Carruthers,105,Ontario Liberal Party,105Carruthers
Peter Elgie,York--Simcoe,Elgie,105,Green Party of Ontario,105Elgie
Julia Munro,York--Simcoe,Munro,105,Progressive Conservative Party of Ontario,105Munro
Craig Wallace,York--Simcoe,Wallace,105,Ontario Libertarian Party,105Wallace
