Candidate Name,Electoral District,LastName,Riding Number,Party,RidingLastName
Douglas McLarty,Chatham-Kent--Essex,McLarty,14,Ontario Libertarian Party,14McLarty
Rick Nicholls,Chatham-Kent--Essex,Nicholls,14,Progressive Conservative Party of Ontario,14Nicholls
Mariam Ahmad,Davenport,Ahmad,15,Communist Party of Canada (Ontario),15Ahmad
Franz Cauchi,Davenport,Cauchi,15,Freedom Party of Ontario,15Cauchi
Lan Daniel,Davenport,Daniel,15,Progressive Conservative Party of Ontario,15Daniel
Cristina Martins,Davenport,Martins,15,Ontario Liberal Party,15Martins
Jonah Schein,Davenport,Schein,15,New Democratic Party of Ontario,15Schein
Daniel Stein,Davenport,Stein,15,Green Party of Ontario,15Stein
Nunzio Venuto,Davenport,Venuto,15,Ontario Libertarian Party,15Venuto
Troy Young,Davenport,Young,15,The Peoples Political Party,15Young
Michael Coteau,Don Valley East,Coteau,16,Ontario Liberal Party,16Coteau
Angela Kennedy,Don Valley East,Kennedy,16,Progressive Conservative Party of Ontario,16Kennedy
Christopher McLeod,Don Valley East,McLeod,16,Green Party of Ontario,16McLeod
Akil Sadikali,Don Valley East,Sadikali,16,New Democratic Party of Ontario,16Sadikali
Wayne Simmons,Don Valley East,Simmons,16,Freedom Party of Ontario,16Simmons
Khalid Ahmed,Don Valley West,Ahmed,17,New Democratic Party of Ontario,17Ahmed
Ian Patrick Boyd,Don Valley West,Boyd,17,Ontario Libertarian Party,17Boyd
Brock Burrows,Don Valley West,Burrows,17,INDEPENDENT,17Burrows
Tracy Curley,Don Valley West,Curley,17,Freedom Party of Ontario,17Curley
Louis Fliss,Don Valley West,Fliss,17,Green Party of Ontario,17Fliss
Dimitrios (Jim) Kabitsis,Don Valley West,Kabitsis,17,Communist Party of Canada (Ontario),17Kabitsis
David Porter,Don Valley West,Porter,17,Progressive Conservative Party of Ontario,17Porter
Rosemary Waigh,Don Valley West,Waigh,17,Vegan Environmental Party,17Waigh
Kathleen Wynne,Don Valley West,Wynne,17,Ontario Liberal Party,17Wynne
Bobbie Daid,Dufferin--Caledon,Daid,18,Ontario Liberal Party,18Daid
